Page_ID,Title,Section,Lesson,Content_Type,Is_First_Page,Is_Last_Page
140,Section 5: Practice Positive Communication (Lesson 8) - Page 8,Section 5,Lesson 8,Communication Skills,False,False
141,Section 5: Practice Positive Communication (Lesson 8) - Page 9,Section 5,Lesson 8,Communication Skills,False,False
142,Section 5: Practice Positive Communication (Lesson 8) - Page 10,Section 5,Lesson 8,Communication Skills,False,False
143,Section 5: Practice Positive Communication (Lesson 8) - Page 11,Section 5,Lesson 8,Communication Skills,False,False
144,Section 5: Practice Positive Communication (Lesson 8) - Page 12,Section 5,Lesson 8,Communication Skills,False,False
145,Section 5: Practice Positive Communication (Lesson 8) - Summary,Section 5,Lesson 8,Lesson Summary,False,True
146,Section 5: Share Pleasant Activities (Lesson 9),Section 5,Lesson 9,Section Introduction,True,False
147,Section 5: Share Pleasant Activities (Lesson 9) - Page 2,Section 5,Lesson 9,Educational Content,False,False
148,Section 5: Share Pleasant Activities (Lesson 9) - Page 3,Section 5,Lesson 9,Educational Content,False,False
149,Section 5: Share Pleasant Activities (Lesson 9) - Page 4,Section 5,Lesson 9,Educational Content,False,False
150,Section 5: Share Pleasant Activities (Lesson 9) - Page 5,Section 5,Lesson 9,Educational Content,False,False
151,Section 5: Share Pleasant Activities (Lesson 9) - Page 6,Section 5,Lesson 9,Educational Content,False,False
152,Section 5: Share Pleasant Activities (Lesson 9) - Page 7,Section 5,Lesson 9,Educational Content,False,False
153,Section 5: Share Pleasant Activities (Lesson 9) - Page 8,Section 5,Lesson 9,Educational Content,False,False
154,Section 5: Share Pleasant Activities (Lesson 9) - Page 9,Section 5,Lesson 9,Educational Content,False,False
155,Section 5: Share Pleasant Activities (Lesson 9) - Page 10,Section 5,Lesson 9,Educational Content,False,False
156,Section 5: Share Pleasant Activities (Lesson 9) - Page 11,Section 5,Lesson 9,Educational Content,False,False
157,Section 5: Share Pleasant Activities (Lesson 9) - Page 12,Section 5,Lesson 9,Educational Content,False,False
158,Section 5: Share Pleasant Activities (Lesson 9) - Summary,Section 5,Lesson 9,Lesson Summary,False,True
159,Section 6: Get Your Veteran into Care ,Section 6,,Section Introduction,True,True
160,Section 6: Explore Treatment Options (Lesson 10),Section 6,Lesson 10,Section Introduction,True,False
161,Section 6: Explore Treatment Options (Lesson 10) - Page 2,Section 6,Lesson 10,Treatment Information,False,False
162,Section 6: Explore Treatment Options (Lesson 10) - Page 3,Section 6,Lesson 10,Treatment Information,False,False
163,Section 6: Explore Treatment Options (Lesson 10) - Page 4,Section 6,Lesson 10,Treatment Information,False,False
164,Section 6: Explore Treatment Options (Lesson 10) - Page 5,Section 6,Lesson 10,Treatment Information,False,False
165,Section 6: Explore Treatment Options (Lesson 10) - Page 6,Section 6,Lesson 10,Treatment Information,False,False
166,Section 6: Explore Treatment Options (Lesson 10) - Page 7,Section 6,Lesson 10,Treatment Information,False,False
167,Section 6: Explore Treatment Options (Lesson 10) - Page 8,Section 6,Lesson 10,Treatment Information,False,False
168,Section 6: Explore Treatment Options (Lesson 10) - Page 9,Section 6,Lesson 10,Treatment Information,False,False
169,Section 6: Explore Treatment Options (Lesson 10) - Page 10,Section 6,Lesson 10,Treatment Information,False,False
170,Section 6: Explore Treatment Options (Lesson 10) - Page 11,Section 6,Lesson 10,Treatment Information,False,False
171,Section 6: Explore Treatment Options (Lesson 10) - Page 12,Section 6,Lesson 10,Treatment Information,False,False
172,Section 6: Explore Treatment Options (Lesson 10) - Summary,Section 6,Lesson 10,Lesson Summary,False,True
173,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11),Section 6,Lesson 11,Section Introduction,True,False
174,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 2,Section 6,Lesson 11,Treatment Information,False,False
175,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 3,Section 6,Lesson 11,Treatment Information,False,False
176,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 4,Section 6,Lesson 11,Treatment Information,False,False
177,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 5,Section 6,Lesson 11,Treatment Information,False,False
178,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 6,Section 6,Lesson 11,Treatment Information,False,False
179,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 7,Section 6,Lesson 11,Treatment Information,False,False
180,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 8,Section 6,Lesson 11,Treatment Information,False,False
181,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 9,Section 6,Lesson 11,Treatment Information,False,False
182,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 10,Section 6,Lesson 11,Treatment Information,False,False
183,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 11,Section 6,Lesson 11,Treatment Information,False,False
184,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 12,Section 6,Lesson 11,Treatment Information,False,False
185,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 13,Section 6,Lesson 11,Treatment Information,False,False
186,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Page 14,Section 6,Lesson 11,Treatment Information,False,False
187,Section 6: Discuss Treatment Options with Your Veteran (Lesson 11) - Summary,Section 6,Lesson 11,Lesson Summary,False,True
188,Section 6: Supporting Your Loved One's Treatment (Lesson 12),Section 6,Lesson 12,Section Introduction,True,False
189,Section 6: Supporting Your Loved One's Treatment (Lesson 12) - Page 2,Section 6,Lesson 12,Treatment Information,False,False
190,Section 6: Supporting Your Loved One's Treatment (Lesson 12) - Page 3,Section 6,Lesson 12,Treatment Information,False,False
191,Section 6: Supporting Your Loved One's Treatment (Lesson 12) - Page 4,Section 6,Lesson 12,Treatment Information,False,False
menu,Navigation Menu,,,Navigation,False,False
